fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,fmc,py,jd,jd_min,pc,pdf,time,ffmc,bui,gfl,pattern,
C2,51.621244,-115.608378,2138.000000,,,16.000000,342.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2144.000000,,,24.000000,324.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2163.000000,,,32.000000,308.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2198.000000,,,41.000000,298.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2234.000000,,,42.000000,305.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2259.000000,,,44.000000,315.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2290.000000,,,45.000000,312.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2335.000000,,,19.000000,45.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2286.000000,,,65.000000,91.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2212.000000,,,42.000000,93.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2195.000000,,,16.000000,86.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2178.000000,,,24.000000,86.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2147.000000,,,27.000000,85.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2123.000000,,,19.000000,84.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2110.000000,,,3.000000,153.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2128.000000,,,9.000000,217.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2122.000000,,,6.000000,123.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2109.000000,,,8.000000,91.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2108.000000,,,7.000000,162.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2116.000000,,,16.000000,183.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2166.000000,,,40.000000,345.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2188.000000,,,52.000000,335.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2207.000000,,,60.000000,334.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2231.000000,,,67.000000,327.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2284.000000,,,69.000000,325.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2323.000000,,,66.000000,329.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2366.000000,,,47.000000,338.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2363.000000,,,44.000000,65.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2265.000000,,,73.000000,90.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2210.000000,,,38.000000,97.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2200.000000,,,16.000000,102.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2179.000000,,,23.000000,95.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2152.000000,,,25.000000,89.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2128.000000,,,20.000000,87.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2109.000000,,,12.000000,116.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2101.000000,,,14.000000,188.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2118.000000,,,12.000000,203.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2117.000000,,,6.000000,110.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2094.000000,,,10.000000,95.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2078.000000,,,7.000000,144.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2211.000000,,,61.000000,346.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2241.000000,,,69.000000,335.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2277.000000,,,72.000000,335.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2312.000000,,,68.000000,332.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2348.000000,,,53.000000,327.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2379.000000,,,32.000000,318.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2394.000000,,,5.000000,33.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2364.000000,,,58.000000,97.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2273.000000,,,79.000000,97.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2202.000000,,,39.000000,105.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2189.000000,,,18.000000,126.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2171.000000,,,23.000000,114.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2149.000000,,,24.000000,109.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2127.000000,,,18.000000,103.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2107.000000,,,17.000000,95.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2086.000000,,,10.000000,136.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2094.000000,,,18.000000,206.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2113.000000,,,12.000000,204.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2111.000000,,,6.000000,56.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2098.000000,,,15.000000,17.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2284.000000,,,60.000000,347.000000,,,,,2,,,,,,,20,,,0.800000,,
